Trial;sampling_date;date;treatment;plot ;fieldrep;depth;depth_class;C_proz;N_proz;K_mgkg;P_mgkg
trial C;08.04.2015;2;2;2;1;75;3;0,44;0,05;88,86712844;28,17168172
trial C;08.04.2015;2;2;2;1;105;4;0,38;0,05;97,94289776;10,79990471
trial C;08.04.2015;2;3;3;1;30;1;0,89;0,1;170,6627954;103,0626146
trial C;08.04.2015;2;3;3;1;45;2;0,41;0,05;180,9781164;22,72802798
trial C;08.04.2015;2;3;3;1;75;3;0,37;0,04;73,97765274;20,7988806
trial C;08.04.2015;2;3;3;1;105;4;0,32;0,04;88,71953286;14,91840717
trial C;08.04.2015;2;4;4;1;30;1;0,88;0,1;160,4868569;111,521857
trial C;08.04.2015;2;4;4;1;45;2;0,67;0,08;245,8383491;62,31806592
trial C;08.04.2015;2;4;4;1;75;3;0,44;0,05;92,64879964;44,54323369
trial C;08.04.2015;2;4;4;1;105;4;0,52;0,06;101,1993235;35,67747526
trial C;08.04.2015;2;5;5;1;30;1;0,86;0,1;194,5241966;123,5877519
trial C;08.04.2015;2;5;5;1;45;2;0,52;0,06;291,5947189;45,55583017
trial C;08.04.2015;2;5;5;1;75;3;0,38;0,05;83,0982507;34,88373835
trial C;08.04.2015;2;5;5;1;105;4;0,42;0,05;108,4695722;22,44637305
trial C;08.04.2015;2;6;6;1;30;1;0,88;0,1;206,272248;120,795256
trial C;08.04.2015;2;6;6;1;45;2;0,59;0,07;358,9691947;67,73787657
trial C;08.04.2015;2;6;6;1;75;3;0,4;0,05;94,52046346;41,7266554
trial C;08.04.2015;2;6;6;1;105;4;0,36;0,05;71,82255726;14,57306615
trial C;08.04.2015;2;5;7;2;30;1;0,85;0,09;175,4201013;87,07580065
trial C;08.04.2015;2;5;7;2;45;2;0,58;0,07;245,741832;44,70462473
trial C;08.04.2015;2;5;7;2;75;3;0,36;0,04;80,02792784;13,13593878
trial C;08.04.2015;2;5;7;2;105;4;0,34;0,05;87,12054283;16,20236915
trial C;08.04.2015;2;6;8;2;30;1;0,85;0,1;190,888671;83,339277
trial C;08.04.2015;2;6;8;2;45;2;0,59;0,07;254,1529308;44,51519171
trial C;08.04.2015;2;6;8;2;75;3;0,39;0,05;74,95048046;16,25644238
trial C;08.04.2015;2;6;8;2;105;4;0,34;0,04;68,92903891;7,412294895
trial C;08.04.2015;2;4;9;2;30;1;0,82;0,09;152,3532086;113,3023977
trial C;08.04.2015;2;4;9;2;45;2;0,57;0,07;236,0029451;59,86143503
trial C;08.04.2015;2;4;9;2;75;3;0,4;0,05;79,37852932;43,9788168
trial C;08.04.2015;2;4;9;2;105;4;0,52;0,06;100,5743303;38,35244597
trial C;08.04.2015;2;3;10;2;30;1;0,9;0,1;193,1858308;104,2075798
trial C;08.04.2015;2;3;10;2;45;2;0,69;0,08;344,380276;52,16432052
trial C;08.04.2015;2;3;10;2;75;3;0,36;0,05;90,21035727;4,834098048
trial C;08.04.2015;2;3;10;2;105;4;0,37;0,05;83,9279929;3,773204587
trial C;08.04.2015;2;1;11;2;30;1;0,91;0,11;216,2513331;91,16122512
trial C;08.04.2015;2;1;11;2;45;2;0,71;0,08;374,6089909;58,2823953
trial C;08.04.2015;2;1;11;2;75;3;0,36;0,05;95,99590092;19,99210519
trial C;08.04.2015;2;1;11;2;105;4;0,31;0,04;74,84180281;7,373539437
trial C;08.04.2015;2;2;12;2;30;1;0,91;0,1;203,8847906;75,6095591
trial C;08.04.2015;2;2;12;2;45;2;0,75;0,08;320,4793648;61,28141511
trial C;08.04.2015;2;2;12;2;75;3;0,39;0,05;73,54288188;14,48915747
trial C;08.04.2015;2;2;12;2;105;4;0,35;0,04;69,64851926;10,46527807
trial C;08.04.2015;2;2;13;3;30;1;0,87;0,1;217,8675705;57,57112814
trial C;08.04.2015;2;2;13;3;45;2;0,63;0,07;392,9656404;22,99565695
trial C;08.04.2015;2;2;13;3;75;3;0,4;0,05;97,22366043;11,13296831
trial C;08.04.2015;2;2;13;3;105;4;0,31;0,05;91,73020667;7,249914367
trial C;08.04.2015;2;3;14;3;30;1;0,91;0,1;232,2765622;57,09357642
trial C;08.04.2015;2;3;14;3;45;2;0,68;0,08;470,4155786;37,70200667
trial C;08.04.2015;2;3;14;3;75;3;0,46;0,06;115,1478917;10,29676537
trial C;08.04.2015;2;3;14;3;105;4;0,33;0,05;97,06047342;3,939242786
trial C;08.04.2015;2;1;15;3;30;1;0,91;0,1;241,7428968;48,90966901
trial C;08.04.2015;2;1;15;3;45;2;0,78;0,09;383,3793615;37,28807153
trial C;08.04.2015;2;1;15;3;75;3;0,45;0,06;114,2847669;6,277707888
trial C;08.04.2015;2;1;15;3;105;4;0,31;0,05;97,39951902;1,993905025
trial C;08.04.2015;2;6;16;3;30;1;1,02;0,11;273,7163153;91,26201201
trial C;08.04.2015;2;6;16;3;45;2;0,69;0,08;388,3163048;38,34291354
trial C;08.04.2015;2;6;16;3;75;3;0,4;0,06;100,4847772;3,925793249
trial C;08.04.2015;2;6;16;3;105;4;0,31;0,05;86,11812411;0,386901166
trial C;08.04.2015;2;5;17;3;30;1;1,07;0,12;259,9528695;142,498887
trial C;08.04.2015;2;5;17;3;45;2;0,7;0,08;378,6745275;67,43693406
trial C;08.04.2015;2;5;17;3;75;3;0,39;0,06;90,00368548;6,654819373
trial C;08.04.2015;2;5;17;3;105;4;0,29;0,04;80,21614515;3,30474472
trial C;08.04.2015;2;4;18;3;30;1;0,99;0,11;211,4720495;79,55992562
trial C;08.04.2015;2;4;18;3;45;2;0,74;0,09;352,0906676;45,60861095
trial C;08.04.2015;2;4;18;3;75;3;0,43;0,06;91,24563245;10,05954895
trial C;08.04.2015;2;4;18;3;105;4;0,35;0,05;91,25507997;0,860634626
trial C;08.04.2015;2;5;19;4;30;1;1,01;0,11;1377,530008;142,7529922
trial C;08.04.2015;2;5;19;4;45;2;0,62;0,07;278,3832583;73,06637626
trial C;08.04.2015;2;5;19;4;75;3;0,36;0,05;77,30201843;23,16278955
trial C;08.04.2015;2;5;19;4;105;4;0,35;0,05;79,50721443;9,913998303
trial C;08.04.2015;2;4;20;4;30;1;1,05;0,12;218,1400386;132,045513
trial C;08.04.2015;2;4;20;4;45;2;0,79;0,09;340,2539853;93,30772553
trial C;08.04.2015;2;4;20;4;75;3;0,37;0,06;90,99052177;13,51031438
trial C;08.04.2015;2;4;20;4;105;4;0,48;0,04;446,083549;8,576968141
trial C;08.04.2015;2;6;21;4;30;1;1,08;0,12;223,64409;130,037739
trial C;08.04.2015;2;6;21;4;45;2;0,68;0,08;326,7434041;54,45161617
trial C;08.04.2015;2;6;21;4;75;3;0,35;0,05;83,2940236;10,21719342
trial C;08.04.2015;2;6;21;4;105;4;0,93;0,04;78,77220248;5,939521403
trial C;08.04.2015;2;3;22;4;30;1;1,02;0,11;232,1600904;134,9744236
trial C;08.04.2015;2;3;22;4;45;2;0,79;0,09;387,6604369;90,41249224
trial C;08.04.2015;2;3;22;4;75;3;0,42;0,06;108,7856159;35,57626158
trial C;08.04.2015;2;3;22;4;105;4;0,35;0,05;93,71823601;8,072457412
trial C;08.04.2015;2;2;23;4;30;1;1;0,11;523,1420313;114,0485706
trial C;08.04.2015;2;2;23;4;45;2;0,56;0,07;297,991798;31,41321255
trial C;08.04.2015;2;2;23;4;75;3;0,38;0,05;752,1385078;10,476053
trial C;08.04.2015;2;2;23;4;105;4;1,38;0,04;85,96015596;4,475465322
trial C;08.04.2015;2;1;24;4;30;1;1,01;0,11;170,6849396;96,8435938
trial C;08.04.2015;2;1;24;4;45;2;0,66;0,08;453,9184221;38,24394613
trial C;08.04.2015;2;1;24;4;75;3;0,35;0,05;602,11961;10,84296047
trial C;08.04.2015;2;1;24;4;105;4;1,14;0,03;75,57699998;7,53972762
trial C;06.04.2016;3;1;1;1;30;1;0,962975689;0,101616264;197,8370048;92,87
trial C;06.04.2016;3;1;1;1;45;2;0,725623035;0,078515145;379,6003706;65,35
trial C;06.04.2016;3;1;1;1;75;3;0,434054343;0,049502789;91,98257268;20,14
trial C;06.04.2016;3;1;1;1;105;4;0,392486402;0,04654004;82,33315017;5,73
trial C;06.04.2016;3;2;2;1;30;1;0,945282737;0,096163808;173,7802685;88,95
trial C;06.04.2016;3;2;2;1;45;2;0,7685566;0,080046853;379,2810302;68,73
trial C;06.04.2016;3;2;2;1;75;3;0,450528062;0,049339194;85,88554452;19,08
trial C;06.04.2016;3;2;2;1;105;4;0,408012216;0,045384454;91,17882802;7,51
trial C;06.04.2016;3;3;3;1;30;1;0,895996622;0,090993528;209,1666991;77,04
trial C;06.04.2016;3;3;3;1;45;2;0,686380208;0,071254652;294,9725507;51,55
trial C;06.04.2016;3;3;3;1;75;3;0,348672512;0,03993729;79,30446844;18,36
trial C;06.04.2016;3;3;3;1;105;4;0,391298156;0,042104686;72,30707079;11,75
trial C;06.04.2016;3;4;4;1;30;1;0,887219327;0,093524086;178,6215089;76,68
trial C;06.04.2016;3;4;4;1;45;2;0,635710273;0,069273655;301,6139721;39,95
trial C;06.04.2016;3;4;4;1;75;3;0,382489783;0,045055551;64,10580503;13,14
trial C;06.04.2016;3;4;4;1;105;4;0,317720319;0,041934727;76,08657101;5,59
trial C;06.04.2016;3;5;5;1;30;1;0,839269591;0,089022538;171,1157325;71,6
trial C;06.04.2016;3;5;5;1;45;2;0,674779239;0,070936916;306,6190767;48,13
trial C;06.04.2016;3;5;5;1;75;3;0,383705428;0,042454184;72,78391566;16,04
trial C;06.04.2016;3;5;5;1;105;4;0,385068609;0,043917401;70,3917412;10,45
trial C;06.04.2016;3;6;6;1;30;1;0,868046773;0,089804154;179,6431291;74,39
trial C;06.04.2016;3;6;6;1;45;2;0,698946301;0,072714048;311,0561721;55,45
trial C;06.04.2016;3;6;6;1;75;3;0,402631262;0,045920494;74,70856587;17,38
trial C;06.04.2016;3;6;6;1;105;4;0,393379495;0,043773599;72,04000891;9,39
trial C;06.04.2016;3;5;7;2;30;1;0,878628444;0,088025275;188,8727421;57,54
trial C;06.04.2016;3;5;7;2;45;2;0,787214737;0,077553568;283,0664954;52,28
trial C;06.04.2016;3;5;7;2;75;3;0,732660168;0,04969774;84,02317471;37,04
trial C;06.04.2016;3;5;7;2;105;4;0,684293707;0,045694536;74,56770766;10,68
trial C;06.04.2016;3;6;8;2;30;1;0,868778554;0,036902051;71,02561084;13,59
trial C;06.04.2016;3;6;8;2;45;2;0,744928524;0,041639734;167,8505504;14,44
trial C;06.04.2016;3;6;8;2;75;3;0,886098037;0,052358939;121,8849093;76,02
trial C;06.04.2016;3;6;8;2;105;4;0,839207797;0,074478643;143,9260605;53,39
trial C;06.04.2016;3;4;9;2;30;1;0,884363624;0,081305481;155,4444556;56,18
trial C;06.04.2016;3;4;9;2;45;2;0,647368388;0,058769351;270,513343;39,93
trial C;06.04.2016;3;4;9;2;75;3;0,400201979;0,035552345;70,4329497;23
trial C;06.04.2016;3;4;9;2;105;4;0,404200942;0,032387999;66,29381339;10,95
trial C;06.04.2016;3;3;10;2;30;1;0,900045529;0,083507973;139,3659016;96,84
trial C;06.04.2016;3;3;10;2;45;2;0,677271179;0,064190948;225,9610712;65,54
trial C;06.04.2016;3;3;10;2;75;3;0,412490973;0,036398617;66,16401032;26,96
trial C;06.04.2016;3;3;10;2;105;4;0,414734483;0,037922311;102,2034674;12,53
trial C;06.04.2016;3;1;11;2;30;1;0,935849599;0,088938858;197,3389418;79,79
trial C;06.04.2016;3;1;11;2;45;2;0,795081316;0,074211947;332,9633002;83,46
trial C;06.04.2016;3;1;11;2;75;3;0,436504833;0,04120663;91,97785818;30,44
trial C;06.04.2016;3;1;11;2;105;4;0,367649896;0,039111393;73,62375073;8,41
trial C;06.04.2016;3;2;12;2;30;1;0,941185932;0,086943465;187,0427114;75,81
trial C;06.04.2016;3;2;12;2;45;2;0,72511072;0,068589115;298,1698311;56,3
trial C;06.04.2016;3;2;12;2;75;3;0,432368289;0,041579155;75,97016831;24,42
trial C;06.04.2016;3;2;12;2;105;4;0,372669452;0,039679906;65,9948876;9,11
trial C;06.04.2016;3;2;13;3;30;1;0,94273076;0,092096864;171,1813459;73,45
trial C;06.04.2016;3;2;13;3;45;2;0,609226665;0,058416293;280,1545506;46,84
trial C;06.04.2016;3;2;13;3;75;3;0,426395894;0,043139467;78,47973308;18,14
trial C;06.04.2016;3;2;13;3;105;4;0,356181909;0,03975527;66,90814968;10,81
trial C;06.04.2016;3;3;14;3;30;1;0,986139056;0,093634917;176,3157954;89,37
trial C;06.04.2016;3;3;14;3;45;2;0,699073233;0,067967084;299,7266639;55,05
trial C;06.04.2016;3;3;14;3;75;3;0,44789297;0,050303382;86,70283211;16,12
trial C;06.04.2016;3;3;14;3;105;4;0,382939305;0,042831824;79,61970044;6,59
trial C;06.04.2016;3;1;15;3;30;1;0,978803905;0,093908327;212,098363;70,81
trial C;06.04.2016;3;1;15;3;45;2;0,665189658;0,06712514;295,8685517;44,53
trial C;06.04.2016;3;1;15;3;75;3;0,427578224;0,048476016;85,0400618;14,38
trial C;06.04.2016;3;1;15;3;105;4;0,366306112;0,040997149;75,04137691;7,59
trial C;06.04.2016;3;6;16;3;30;1;1,004611725;0,096861961;197,2748805;124,1
trial C;06.04.2016;3;6;16;3;45;2;0,70749871;0,070641619;324,3699256;71,58
trial C;06.04.2016;3;6;16;3;75;3;0,425524041;0,04843706;77,90429418;20,08
trial C;06.04.2016;3;6;16;3;105;4;0,303099673;0,032850282;67,73596468;8,73
trial C;06.04.2016;3;5;17;3;30;1;1,003407249;0,099643548;206,2037233;89,53
trial C;06.04.2016;3;5;17;3;45;2;0,694648593;0,069503044;327,2725223;69,61
trial C;06.04.2016;3;5;17;3;75;3;0,410676145;0,045835928;85,89151282;16,14
trial C;06.04.2016;3;5;17;3;105;4;0,29702398;0,032600834;70,83768553;6,89
trial C;06.04.2016;3;4;18;3;30;1;1,040082833;0,105068613;201,8408775;91,14
trial C;06.04.2016;3;4;18;3;45;2;0,76812955;0,077200938;358,5180533;46,93
trial C;06.04.2016;3;4;18;3;75;3;0,388974628;0,044783578;80,0332295;13,4
trial C;06.04.2016;3;4;18;3;105;4;0,454732018;0,036748195;75,0250258;8,26
trial C;06.04.2016;3;5;19;4;30;1;1,06318547;0,106988103;137,0517839;111,68
trial C;06.04.2016;3;5;19;4;45;2;0,790315355;0,082339403;229,0740621;77,77
trial C;06.04.2016;3;5;19;4;75;3;0,420842984;0,049579975;65,95932812;25,12
trial C;06.04.2016;3;5;19;4;105;4;0,32448149;0,035601126;37,37526327;6,16
trial C;06.04.2016;3;4;20;4;30;1;1,06013938;0,104288215;112,574027;100,84
trial C;06.04.2016;3;4;20;4;45;2;0,657714633;0,068010068;200,8163797;58,05
trial C;06.04.2016;3;4;20;4;75;3;0,399265908;0,046883054;45,36195934;17
trial C;06.04.2016;3;4;20;4;105;4;0,706250803;0,034413083;38,57921124;6,27
trial C;06.04.2016;3;6;21;4;30;1;1,111125248;0,110528271;105,4952389;97,52
trial C;06.04.2016;3;6;21;4;45;2;0,738773054;0,078914737;152,1300701;39,55
trial C;06.04.2016;3;6;21;4;75;3;NA;NA;54,57569391;17,48
trial C;06.04.2016;3;6;21;4;105;4;0,394574066;0,039121556;47,8231859;8,07
trial C;06.04.2016;3;3;22;4;30;1;1,008880703;0,107823641;111,4053579;86,47
trial C;06.04.2016;3;3;22;4;45;2;0,528688768;0,063344257;224,6498862;21,49
trial C;06.04.2016;3;3;22;4;75;3;0,375036094;0,047402521;43,52593529;10
trial C;06.04.2016;3;3;22;4;105;4;1,49881929;0,028652671;46,90036707;5,36
trial C;06.04.2016;3;2;23;4;30;1;1,045162885;0,109183982;123,129379;47,73
trial C;06.04.2016;3;2;23;4;45;2;0,760981959;0,082426519;274,3291157;33,62
trial C;06.04.2016;3;2;23;4;75;3;0,375451239;0,049269209;62,89105696;11,14
trial C;06.04.2016;3;2;23;4;105;4;0,414714511;0,033878149;37,41818495;4,44
trial C;06.04.2016;3;1;24;4;30;1;1,029748352;0,105432589;137,7629113;65,88
trial C;06.04.2016;3;1;24;4;45;2;0,643751605;0,068830021;166,6827738;14,61
trial C;06.04.2016;3;1;24;4;75;3;0,377522637;0,04497651;50,78910467;8,6
trial C;06.04.2016;3;1;24;4;105;4;1,367815739;0,02678568;41,66709046;5,56
trial C;22.03.2017;4;1;1;1;30;1;1,088922155;0,106782683;192,9323981;94,41
trial C;22.03.2017;4;1;1;1;45;2;0,691385226;0,064481107;276,3445339;58,26
trial C;22.03.2017;4;1;1;1;75;3;0,466534601;0,051783684;83,78380989;20,48
trial C;22.03.2017;4;1;1;1;105;4;0,381198195;0,047983254;77,15718485;7,4
trial C;22.03.2017;4;2;2;1;30;1;1,005879371;0,093127195;166,492142;91,13
