Trial;sampling date;EC stage;treatment ;plot ID;field repetition;Formelcheck treatment;Rain shelter/Rainfed;main crop;soil depth (cm);RLD total (cm cm-3);RLD bulk (cm cm-3);RLD BP (cm cm-3);RLU total (cm /m^2 in soil depth);RLU bulk (cm /m^2 in soil depth);RLU BP (cm /m^2 in soil depth);;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;50;0,056;0,038;0,018;28;19;9;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;55;0,014;0,014;0;7;7;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;60;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;65;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;70;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;75;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;80;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;85;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;90;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;95;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;100;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;105;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;110;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;115;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;120;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;125;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;130;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;135;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;140;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;145;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;150;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;155;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;160;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;165;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;170;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;175;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;180;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;185;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;190;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;195;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;200;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;5;0,326;0,326;0;163;163;0;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;10;0,344;0,344;0;172;172;0;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;15;0,492;0,452;0,04;246;226;20;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;20;0,504;0,504;0;252;252;0;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;25;0,552;0,552;0;276;276;0;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;30;0,446;0,446;0;223;223;0;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;35;0,404;0,404;0;202;202;0;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;40;0,48;0,468;0,012;240;234;6;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;45;0,472;0,43;0,042;236;215;21;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;50;0,144;0,1;0,044;72;50;22;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;55;0,102;0,046;0,056;51;23;28;;;;;;;;;;;;
