Nmin analysed with method XXX at Wiesengut, ? AOL, unit: kg/ha;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Trial;sampling date;treatment ;plot ID;Formelcheck treatment;main crop;soil depth;Nmin kg/ha;data source;comment
trial C;2013-06-26;6;21;6;;45-75cm;2,212433423;;
trial C;2013-06-26;6;21;6;;75-105cm;1,404075663;;
trial C;2013-06-26;3;22;3;;0-30cm;11,415994;;
trial C;2013-06-26;3;22;3;;30-45cm;13,6530143;;
trial C;2013-06-26;3;22;3;;45-75cm;11,03986891;;
trial C;2013-06-26;3;22;3;;75-105cm;4,725934592;;
trial C;2013-06-26;2;23;2;;0-30cm;12,66866745;;
trial C;2013-06-26;2;23;2;;30-45cm;6,03833843;;
trial C;2013-06-26;2;23;2;;45-75cm;12,7744948;;
trial C;2013-06-26;2;23;2;;75-105cm;5,575885999;;
trial C;2013-06-26;1;24;1;;0-30cm;12,55554819;;
trial C;2013-06-26;1;24;1;;30-45cm;14,91819412;;
trial C;2013-06-26;1;24;1;;45-75cm;19,39770837;;
trial C;2013-06-26;1;24;1;;75-105cm;4,929375437;;
;;;;;;;;;
trial C;2013-07-30;2;13;2;;0-30cm;11,49722044;Nmin 2013 last MA 45 korr, Tabellenblatt Trial C sortiert;
trial C;2013-07-30;2;13;2;;30-45cm;2,177572497;;
trial C;2013-07-30;2;13;2;;45-75cm;2,704917455;;
trial C;2013-07-30;2;13;2;;75-105cm;13,91756222;;
trial C;2013-07-30;3;14;3;;0-30cm;9,791374206;;
trial C;2013-07-30;3;14;3;;30-45cm;2,65780043;;
trial C;2013-07-30;3;14;3;;45-75cm;3,191345531;;
trial C;2013-07-30;3;14;3;;75-105cm;3,969398852;;
trial C;2013-07-30;1;15;1;;0-30cm;26,24057248;;
trial C;2013-07-30;1;15;1;;30-45cm;4,797585922;;
trial C;2013-07-30;1;15;1;;45-75cm;5,38299992;;
trial C;2013-07-30;1;15;1;;75-105cm;6,57631498;;
trial C;2013-07-30;6;16;6;;0-30cm;12,47512772;;
trial C;2013-07-30;6;16;6;;30-45cm;0,999734067;;
trial C;2013-07-30;6;16;6;;45-75cm;1,109652357;;
trial C;2013-07-30;6;16;6;;75-105cm;0,774532775;;
trial C;2013-07-30;5;17;5;;0-30cm;15,25927791;;
trial C;2013-07-30;5;17;5;;30-45cm;2,718688095;;
trial C;2013-07-30;5;17;5;;45-75cm;1,878807278;;
trial C;2013-07-30;5;17;5;;75-105cm;2,303484549;;
trial C;2013-07-30;4;18;4;;0-30cm;37,78743541;;
trial C;2013-07-30;4;18;4;;30-45cm;3,987951245;;
trial C;2013-07-30;4;18;4;;45-75cm;1,490249449;;
trial C;2013-07-30;4;18;4;;75-105cm;1,611999343;;
trial C;2013-07-30;5;19;5;;0-30cm;16,85644019;;
trial C;2013-07-30;5;19;5;;30-45cm;3,542728363;;
trial C;2013-07-30;5;19;5;;45-75cm;0,814698492;;
trial C;2013-07-30;5;19;5;;75-105cm;1,010796169;;
trial C;2013-07-30;4;20;4;;0-30cm;30,85080653;;
trial C;2013-07-30;4;20;4;;30-45cm;8,015210954;;
trial C;2013-07-30;4;20;4;;45-75cm;1,901326802;;
trial C;2013-07-30;4;20;4;;75-105cm;5,605273002;;
trial C;2013-07-30;6;21;6;;0-30cm;11,51736612;;
trial C;2013-07-30;6;21;6;;30-45cm;2,749046137;;
trial C;2013-07-30;6;21;6;;45-75cm;1,4697916;;
trial C;2013-07-30;6;21;6;;75-105cm;0,806076149;;
trial C;2013-07-30;3;22;3;;0-30cm;11,36255134;;
trial C;2013-07-30;3;22;3;;30-45cm;5,755198636;;
trial C;2013-07-30;3;22;3;;45-75cm;4,796609094;;
trial C;2013-07-30;3;22;3;;75-105cm;5,489876483;;
trial C;2013-07-30;2;23;2;;0-30cm;10,22758167;;
trial C;2013-07-30;2;23;2;;30-45cm;2,731591697;;
trial C;2013-07-30;2;23;2;;45-75cm;3,243079626;;
trial C;2013-07-30;2;23;2;;75-105cm;7,240418199;;
trial C;2013-07-30;1;24;1;;0-30cm;26,26638596;;
trial C;2013-07-30;1;24;1;;30-45cm;5,347342718;;
trial C;2013-07-30;1;24;1;;45-75cm;4,071277737;;
trial C;2013-07-30;1;24;1;;75-105cm;5,129578352;;
;;;;;;;;;
trial C;2013-10-02;2;13;2;;0-30cm;11,97188789;Nmin 2013 last MA 45 korr, Tabellenblatt Trial C sortiert;
trial C;2013-10-02;2;13;2;;30-45cm;12,56837641;;
trial C;2013-10-02;2;13;2;;45-75cm;20,65373186;;
trial C;2013-10-02;2;13;2;;75-105cm;1,001690394;;
trial C;2013-10-02;3;14;3;;0-30cm;23,87115846;;
trial C;2013-10-02;3;14;3;;30-45cm;11,72686036;;
trial C;2013-10-02;3;14;3;;45-75cm;1,767482645;;
trial C;2013-10-02;3;14;3;;75-105cm;1,146557281;;
trial C;2013-10-02;1;15;1;;0-30cm;54,12498261;;
